A      1ALIMENTARY TRACT AND METABOLISM                                                                               
A01    2STOMATOLOGICAL PREPARATIONS                                                                                   
A01A   3STOMATOLOGICAL PREPARATIONS                                                                                   
A01AA  4CARIES PROPHYLACTIC AGENTS                                                                                    
A01AB  4ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT                                                       
A01AC  4CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT                                                                      
A01AD  4OTHER AGENTS FOR LOCAL ORAL TREATMENT                                                                         
A01W   3HERBAL STOMATOLOGICAL REMEDIES                                                                                
A01WA  4HERBAL STOMATOLOGICAL REMEDIES CONTAINING TANNINS                                                             
A01WB  4HERBAL STOMATOLOGICAL REMEDIES CONTAINING MUCILAGE                                                            
A01WC  4HERBAL STOMATOLOGICAL REMEDIES CONTAINING RESIN OR ESSENTIAL OIL                                              
A01WD  4HERBAL STOMATOLOGICAL REMEDIES CONTAINING IRIDOIDS                                                            
A01WX  4HERBAL STOMATOLOGICAL REMEDIES, OTHER                                                                         
A02    2DRUGS FOR ACID RELATED DISORDERS                                                                              
A02A   3ANTACIDS                                                                                                      
A02AA  4MAGNESIUM COMPOUNDS                                                                                           
A02AB  4ALUMINIUM COMPOUNDS                                                                                           
A02AC  4CALCIUM COMPOUNDS                                                                                             
A02AD  4COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS                                      
A02AF  4ANTACIDS WITH ANTIFLATULENTS                                                                                  
A02AG  4ANTACIDS WITH ANTISPASMODICS                                                                                  
A02AH  4ANTACIDS WITH SODIUM BICARBONATE                                                                              
A02AW  4HERBAL ANTACIDS                                                                                               
A02AX  4ANTACIDS, OTHER COMBINATIONS                                                                                  
A02B   3DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)                                           
A02BA  4H2-RECEPTOR ANTAGONISTS                                                                                       
A02BB  4PROSTAGLANDINS                                                                                                
A02BC  4PROTON PUMP INHIBITORS                                                                                        
A02BD  4COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI                                                           
A02BX  4OTHER DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)                                     
A02W   3HERBAL REMEDIES FOR TREATMENT OF PEPTIC ULCER                                                                 
A02WA  4HERBAL REMEDIES FOR TREATMENT OF PEPTIC ULCER CONTAINING SAPONINS                                             
A02WB  4HERBAL REMEDIES FOR TREATMENT OF PEPTIC ULCER CONTAINING MUCILAGE                                             
A02WC  4HERBAL REMEDIES FOR TREATMENT OF PEPTIC ULCER CONTAINING ALKALOIDS                                            
A02WX  4HERBAL REMEDIES FOR TREATMENT OF PEPTIC ULCER, OTHER                                                          
A02X   3OTHER DRUGS FOR ACID RELATED DISORDERS                                                                        
A02XA  4HERBAL DRUGS FOR ACID REGURGITATION                                                                           
A02XW  4HERBAL REMEDIES FOR STIMULATION OF HCL-PRODUCTION                                                             
A03    2DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS                                                               
A03A   3DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS                                                               
A03AA  4SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP                                                  
A03AB  4SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS                                                     
A03AC  4SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES                                                         
A03AD  4PAPAVERINE AND DERIVATIVES                                                                                    
A03AE  4SEROTONIN RECEPTOR ANTAGONISTS                                                                                
A03AW  4HERBAL CARMINATIVES                                                                                           
A03AX  4OTHER DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS                                                         
A03B   3BELLADONNA AND DERIVATIVES, PLAIN                                                                             
A03BA  4BELLADONNA ALKALOIDS, TERTIARY AMINES                                                                         
A03BB  4BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS                                            
A03C   3ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS                                                              
A03CA  4SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS                                            
A03CB  4BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS                                                  
A03CC  4OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS                                                        
A03D   3ANTISPASMODICS IN COMBINATION WITH ANALGESICS                                                                 
A03DA  4SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS                                               
A03DB  4BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS                                                     
A03DC  4OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS                                                           
A03E   3ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS                                           
A03EA  4ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION                                                   
A03ED  4ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS                                                                
A03F   3PROPULSIVES                                                                                                   
A03FA  4PROPULSIVES                                                                                                   
A03W   3HERBAL ANTISPASMODIC REMEDIES                                                                                 
A03WA  4HERBAL ANTISPASMODIC AGENTS CONTAINING FURANOCHROMONES AND/OR COUMARIN DERIVATIVES                            
A03WB  4HERBAL ANTISPASMODIC AGENTS CONTAINING BISABOLOL DERIVATIVES AND/OR FLAVANOIDS                                
A03WX  4HERBAL ANTISPASMODIC AGENTS, OTHER                                                                            
A03Y   3HERBAL ANTICHOLINERGIC REMEDIES                                                                               
A03YA  4HERBAL ANTICHOLINERGIC AGENTS CONTAINING TROPANE ALKALOIDS                                                    
A04    2ANTIEMETICS AND ANTINAUSEANTS                                                                                 
A04A   3ANTIEMETICS AND ANTINAUSEANTS                                                                                 
A04AA  4SEROTONIN (5HT3) ANTAGONISTS                                                                                  
A04AD  4OTHER ANTIEMETICS                                                                                             
A04W   3HERBAL ANTIEMETICS                                                                                            
A04WA  4HERBAL ANTIEMETICS CONTAINING CANNABINOIDS                                                                    
A04WB  4HERBAL ANTIEMETICS CONTAINING POLYSACCHARIDES (MUCILAGES)                                                     
A04WX  4HERBAL ANTIEMETICS, OTHER                                                                                     
A05    2BILE AND LIVER THERAPY                                                                                        
A05A   3BILE THERAPY                                                                                                  
A05AA  4BILE ACIDS AND DERIVATIVES                                                                                    
A05AB  4PREPARATIONS FOR BILIARY TRACT THERAPY                                                                        
A05AW  4HERBAL CHOLAGOGUES AND CHOLERETICS                                                                            
A05AX  4OTHER DRUGS FOR BILE THERAPY                                                                                  
A05B   3LIVER THERAPY, LIPOTROPICS                                                                                    
A05BA  4LIVER THERAPY                                                                                                 
A05C   3DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION                                                         
A06    2DRUGS FOR CONSTIPATION                                                                                        
A06A   3DRUGS FOR CONSTIPATION                                                                                        
A06AA  4SOFTENERS, EMOLLIENTS                                                                                         
A06AB  4CONTACT LAXATIVES                                                                                             
A06AC  4BULK-FORMING LAXATIVES                                                                                        
A06AD  4OSMOTICALLY ACTING LAXATIVES                                                                                  
A06AG  4ENEMAS                                                                                                        
A06AH  4PERIPHERAL OPIOID RECEPTOR ANTAGONISTS                                                                        
A06AX  4OTHER DRUGS FOR CONSTIPATION                                                                                  
A07    2ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS                                              
A07A   3INTESTINAL ANTIINFECTIVES                                                                                     
A07AA  4ANTIBIOTICS                                                                                                   
A07AB  4SULFONAMIDES                                                                                                  
A07AC  4IMIDAZOLE DERIVATIVES                                                                                         
A07AX  4OTHER INTESTINAL ANTIINFECTIVES                                                                               
A07B   3INTESTINAL ADSORBENTS                                                                                         
A07BA  4CHARCOAL PREPARATIONS                                                                                         
A07BB  4BISMUTH PREPARATIONS                                                                                          
A07BC  4OTHER INTESTINAL ADSORBENTS                                                                                   
A07BW  4HERBAL INTESTINAL ADSORBENTS                                                                                  
A07C   3ELECTROLYTES WITH CARBOHYDRATES                                                                               
A07CA  4ORAL REHYDRATION SALT FORMULATIONS                                                                            
A07D   3ANTIPROPULSIVES                                                                                               
A07DA  4ANTIPROPULSIVES                                                                                               
A07E   3INTESTINAL ANTIINFLAMMATORY AGENTS                                                                            
